Date,Predictions
2010-12-15 22:00:00+00:00,[999.61957]
2010-12-15 23:00:00+00:00,[958.8194]
2010-12-15 00:00:00+00:00,[922.3819]
2010-12-16 01:00:00+00:00,[909.9049]
2010-12-16 02:00:00+00:00,[897.24365]
2010-12-16 03:00:00+00:00,[908.12933]
2010-12-16 04:00:00+00:00,[920.8428]
2010-12-16 05:00:00+00:00,[915.98865]
2010-12-16 06:00:00+00:00,[970.3414]
2010-12-16 07:00:00+00:00,[1006.25757]
2010-12-16 08:00:00+00:00,[1199.6255]
2010-12-16 09:00:00+00:00,[1313.661]
2010-12-16 10:00:00+00:00,[1313.4768]
2010-12-16 11:00:00+00:00,[1340.7174]
2010-12-16 12:00:00+00:00,[1346.4606]
2010-12-16 13:00:00+00:00,[1336.5815]
2010-12-16 14:00:00+00:00,[1342.9786]
2010-12-16 15:00:00+00:00,[1399.8582]
2010-12-16 16:00:00+00:00,[1451.2821]
2010-12-16 17:00:00+00:00,[1491.2755]
2010-12-16 18:00:00+00:00,[1514.158]
2010-12-16 19:00:00+00:00,[1427.6838]
2010-12-16 20:00:00+00:00,[1170.3475]
2010-12-16 21:00:00+00:00,[1086.349]
2010-12-16 22:00:00+00:00,[1018.616]
2010-12-16 23:00:00+00:00,[988.73224]
2010-12-16 00:00:00+00:00,[930.5093]
2010-12-17 01:00:00+00:00,[895.70404]
2010-12-17 02:00:00+00:00,[875.5629]
2010-12-17 03:00:00+00:00,[871.2318]
2010-12-17 04:00:00+00:00,[890.8244]
2010-12-17 05:00:00+00:00,[904.36334]
2010-12-17 06:00:00+00:00,[913.57574]
2010-12-17 07:00:00+00:00,[932.7641]
2010-12-17 08:00:00+00:00,[1031.9021]
2010-12-17 09:00:00+00:00,[1156.8009]
2010-12-17 10:00:00+00:00,[1167.2031]
2010-12-17 11:00:00+00:00,[1214.315]
2010-12-17 12:00:00+00:00,[1243.2286]
2010-12-17 13:00:00+00:00,[1242.9957]
2010-12-17 14:00:00+00:00,[1215.924]
2010-12-17 15:00:00+00:00,[1221.6924]
2010-12-17 16:00:00+00:00,[1250.1416]
2010-12-17 17:00:00+00:00,[1240.6311]
2010-12-17 18:00:00+00:00,[1258.6688]
2010-12-17 19:00:00+00:00,[1235.8904]
2010-12-17 20:00:00+00:00,[1102.1915]
2010-12-17 21:00:00+00:00,[1000.6304]
2010-12-17 22:00:00+00:00,[908.12994]
2010-12-17 23:00:00+00:00,[893.3069]
2010-12-17 00:00:00+00:00,[889.8371]
2010-12-18 01:00:00+00:00,[875.0291]
2010-12-18 02:00:00+00:00,[854.8522]
2010-12-18 03:00:00+00:00,[844.2998]
2010-12-18 04:00:00+00:00,[847.84503]
2010-12-18 05:00:00+00:00,[859.67926]
2010-12-18 06:00:00+00:00,[870.02026]
2010-12-18 07:00:00+00:00,[896.7554]
2010-12-18 08:00:00+00:00,[999.2747]
2010-12-18 09:00:00+00:00,[1028.8359]
2010-12-18 10:00:00+00:00,[1058.6869]
2010-12-18 11:00:00+00:00,[1077.9852]
2010-12-18 12:00:00+00:00,[1110.5225]
2010-12-18 13:00:00+00:00,[1115.2196]
2010-12-18 14:00:00+00:00,[1119.9388]
2010-12-18 15:00:00+00:00,[1129.4293]
2010-12-18 16:00:00+00:00,[1145.9286]
2010-12-18 17:00:00+00:00,[1155.6666]
2010-12-18 18:00:00+00:00,[1153.4703]
2010-12-18 19:00:00+00:00,[1129.7228]
2010-12-18 20:00:00+00:00,[1058.4155]
2010-12-18 21:00:00+00:00,[994.60547]
2010-12-18 22:00:00+00:00,[902.8056]
2010-12-18 23:00:00+00:00,[829.2059]
2010-12-18 00:00:00+00:00,[830.6282]
2010-12-19 01:00:00+00:00,[841.38403]
2010-12-19 02:00:00+00:00,[835.3017]
2010-12-19 03:00:00+00:00,[837.7241]
2010-12-19 04:00:00+00:00,[841.78314]
2010-12-19 05:00:00+00:00,[857.37585]
2010-12-19 06:00:00+00:00,[928.8481]
2010-12-19 07:00:00+00:00,[973.37714]
2010-12-19 08:00:00+00:00,[1131.7003]
2010-12-19 09:00:00+00:00,[1238.874]
2010-12-19 10:00:00+00:00,[1283.9736]
2010-12-19 11:00:00+00:00,[1352.2002]
2010-12-19 12:00:00+00:00,[1406.2472]
2010-12-19 13:00:00+00:00,[1439.0938]
2010-12-19 14:00:00+00:00,[1451.2875]
2010-12-19 15:00:00+00:00,[1496.3108]
2010-12-19 16:00:00+00:00,[1525.8016]
2010-12-19 17:00:00+00:00,[1542.3949]
2010-12-19 18:00:00+00:00,[1497.3179]
2010-12-19 19:00:00+00:00,[1421.0476]
2010-12-19 20:00:00+00:00,[1193.6425]
2010-12-19 21:00:00+00:00,[1120.2231]
2010-12-19 22:00:00+00:00,[1044.92]
2010-12-19 23:00:00+00:00,[1011.5995]
2010-12-19 00:00:00+00:00,[925.3052]
2010-12-20 01:00:00+00:00,[911.9611]
2010-12-20 02:00:00+00:00,[902.1051]
2010-12-20 03:00:00+00:00,[900.0872]
2010-12-20 04:00:00+00:00,[898.6532]
