datetime,temperature,Global_active_power
2010-01-22-03-00,9.72,920.6381028
2010-01-22-04-00,9.22,912.5987129
2010-01-22-05-00,8.89,923.3584894
2010-01-22-06-00,8.61,907.3594023
2010-01-22-07-00,8.44,959.0530876
2010-01-22-08-00,8.50,949.5088019
2010-01-22-09-00,10.17,1049.041966
2010-01-22-10-00,12.39,1099.151443
2010-01-22-11-00,14.39,1145.761542
2010-01-22-12-00,16.06,1168.295415
2010-01-22-13-00,17.33,1180.05314
2010-01-22-14-00,18.28,1173.309544
2010-01-22-15-00,18.94,1164.445258
2010-01-22-16-00,19.17,1157.501033
2010-01-22-17-00,18.89,1135.059714
2010-01-22-18-00,17.61,1103.532556
2010-01-22-19-00,16.17,1093.442919
2010-01-22-20-00,14.83,1085.835472
2010-01-22-21-00,13.89,1041.659753
2010-01-22-22-00,13.11,1035.881996
2010-01-22-23-00,12.33,1024.610028
2010-01-22-00-00,11.61,1015.343227
2010-01-23-01-00,10.94,1005.417825
2010-01-23-02-00,10.28,998.8392626
2010-01-23-03-00,9.78,1001.860514
2010-01-23-04-00,9.28,956.15265
2010-01-23-05-00,8.94,1057.302442
2010-01-23-06-00,8.67,1076.44424
2010-01-23-07-00,8.50,1314.094335
2010-01-23-08-00,8.56,1396.231843
2010-01-23-09-00,10.22,1432.524854
2010-01-23-10-00,12.44,1502.393517
2010-01-23-11-00,14.39,1513.993746
2010-01-23-12-00,16.06,1522.171761
2010-01-23-13-00,17.33,1486.049377
2010-01-23-14-00,18.28,1532.297036
2010-01-23-15-00,18.94,1543.019591
2010-01-23-16-00,19.17,1554.226112
2010-01-23-17-00,18.89,1562.271967
2010-01-23-18-00,17.61,1561.311318
2010-01-23-19-00,16.22,1296.742403
2010-01-23-20-00,14.89,1286.333614
2010-01-23-21-00,13.89,1128.791671
2010-01-23-22-00,13.17,1072.295692
2010-01-23-23-00,12.39,956.1326878
2010-01-23-00-00,11.61,1009.699247
2010-01-24-01-00,10.94,1011.891275
2010-01-24-02-00,10.33,1002.433184
2010-01-24-03-00,9.83,959.5689974
2010-01-24-04-00,9.33,939.6826312
2010-01-24-05-00,8.94,1044.722924
2010-01-24-06-00,8.67,1029.100887
2010-01-24-07-00,8.50,1223.464711
2010-01-24-08-00,8.61,1340.134342
2010-01-24-09-00,10.28,1416.472754
2010-01-24-10-00,12.50,1504.238465
2010-01-24-11-00,14.44,1533.178928
2010-01-24-12-00,16.06,1544.244366
2010-01-24-13-00,17.33,1509.070432
2010-01-24-14-00,18.28,1547.41044
2010-01-24-15-00,18.94,1548.534158
2010-01-24-16-00,19.22,1543.872922
2010-01-24-17-00,18.89,1543.389825
2010-01-24-18-00,17.67,1562.098939
2010-01-24-19-00,16.22,1309.392426
2010-01-24-20-00,14.89,1294.667557
2010-01-24-21-00,13.89,1157.878326
2010-01-24-22-00,13.17,1110.436439
2010-01-24-23-00,12.39,975.2960498
2010-01-24-00-00,11.61,1021.689661
2010-01-25-01-00,10.94,1018.144831
2010-01-25-02-00,10.28,971.6078134
2010-01-25-03-00,9.78,987.7622153
2010-01-25-04-00,9.33,999.9890267
2010-01-25-05-00,8.94,1079.320164
2010-01-25-06-00,8.67,1036.717331
2010-01-25-07-00,8.50,1267.359998
2010-01-25-08-00,8.61,1412.096501
2010-01-25-09-00,10.28,1471.293007
2010-01-25-10-00,12.56,1522.64953
2010-01-25-11-00,14.44,1547.316358
2010-01-25-12-00,16.06,1540.335967
2010-01-25-13-00,17.33,1477.800137
2010-01-25-14-00,18.28,1492.275659
2010-01-25-15-00,18.94,1480.980422
2010-01-25-16-00,19.22,1481.781108
2010-01-25-17-00,18.94,1485.724195
2010-01-25-18-00,17.72,1506.281388
2010-01-25-19-00,16.28,1283.537296
2010-01-25-20-00,14.94,1298.830272
2010-01-25-21-00,13.94,1152.115068
2010-01-25-22-00,13.22,1103.092548
2010-01-25-23-00,12.44,1031.631505
2010-01-25-00-00,11.61,1001.383343
2010-01-26-01-00,10.94,977.9020177
2010-01-26-02-00,10.33,1012.584201
2010-01-26-03-00,9.83,969.4640421
2010-01-26-04-00,9.39,943.5330653
2010-01-26-05-00,9.00,1031.48676
2010-01-26-06-00,8.72,1060.211845
2010-01-26-07-00,8.56,1305.163077
2010-01-26-08-00,8.67,1439.831607
2010-01-26-09-00,10.33,1481.843275
2010-01-26-10-00,12.61,1524.25237
2010-01-26-11-00,14.50,1540.582219
2010-01-26-12-00,16.11,1522.047657
2010-01-26-13-00,17.39,1459.493297
2010-01-26-14-00,18.33,1474.973186
2010-01-26-15-00,19.00,1464.148389
2010-01-26-16-00,19.28,1455.916334
2010-01-26-17-00,18.94,1460.539024
2010-01-26-18-00,17.78,1474.169306
